vendor_id,vendor_name,category,location,contract_type,payment_terms,rating
V0348,Packaging Supply Co. 348,Packaging,India,Term,Net 60,4.6
V0349,Electronics Supply Co. 349,Electronics,India,Variable,Net 30,4.58
V0350,Raw Materials Supply Co. 350,Raw Materials,China,Fixed,Net 60,3.92
V0351,Raw Materials Supply Co. 351,Raw Materials,China,Fixed,Net 30,4.31
V0352,Raw Materials Supply Co. 352,Raw Materials,Canada,Variable,Net 30,4.53
V0353,Raw Materials Supply Co. 353,Raw Materials,USA,Fixed,Net 30,4.96
V0354,Components Supply Co. 354,Components,USA,Variable,Net 45,3.23
V0355,Components Supply Co. 355,Components,Spain,Fixed,Net 30,4.27
V0356,Components Supply Co. 356,Components,Germany,Variable,Net 30,3.56
V0357,Finished Goods Supply Co. 357,Finished Goods,Vietnam,Fixed,Net 45,4.95
V0358,Finished Goods Supply Co. 358,Finished Goods,USA,Fixed,Net 30,3.56
V0359,Packaging Supply Co. 359,Packaging,India,Variable,Prepaid,4.01
V0360,Packaging Supply Co. 360,Packaging,Poland,Variable,Net 30,4.81
V0361,Electronics Supply Co. 361,Electronics,Canada,Term,Net 30,3.75
V0362,Electronics Supply Co. 362,Electronics,Brazil,Fixed,Net 30,3.21
V0363,Packaging Supply Co. 363,Packaging,USA,Fixed,Net 45,4.91
V0364,Components Supply Co. 364,Components,USA,Term,Net 30,4.33
V0365,Components Supply Co. 365,Components,USA,Term,Net 60,3.5
V0366,Electronics Supply Co. 366,Electronics,Brazil,Variable,Net 30,4.78
V0367,Finished Goods Supply Co. 367,Finished Goods,Spain,Fixed,Net 60,3.52
V0368,Packaging Supply Co. 368,Packaging,Vietnam,Fixed,Net 30,3.35
V0369,Packaging Supply Co. 369,Packaging,China,Variable,Net 30,4.12
V0370,Raw Materials Supply Co. 370,Raw Materials,Germany,Variable,Prepaid,4.05
V0371,Electronics Supply Co. 371,Electronics,Mexico,Variable,Net 45,4.25
V0372,Finished Goods Supply Co. 372,Finished Goods,Vietnam,Fixed,Net 30,4.52
V0373,Packaging Supply Co. 373,Packaging,Brazil,Fixed,Net 30,4.71
V0374,Electronics Supply Co. 374,Electronics,Spain,Variable,Net 30,4.12
V0375,Raw Materials Supply Co. 375,Raw Materials,Germany,Fixed,Net 30,3.44
V0376,Raw Materials Supply Co. 376,Raw Materials,Vietnam,Term,Net 30,4.85
V0377,Raw Materials Supply Co. 377,Raw Materials,Spain,Term,Prepaid,4.05
V0378,Raw Materials Supply Co. 378,Raw Materials,Mexico,Fixed,Net 60,3.3
V0379,Components Supply Co. 379,Components,Canada,Term,Net 45,4.67
V0380,Components Supply Co. 380,Components,Germany,Fixed,Prepaid,4.62
V0381,Components Supply Co. 381,Components,Poland,Fixed,Net 60,4.25
V0382,Finished Goods Supply Co. 382,Finished Goods,Brazil,Fixed,Net 30,3.45
V0383,Finished Goods Supply Co. 383,Finished Goods,Germany,Variable,Net 45,3.88
V0384,Packaging Supply Co. 384,Packaging,Brazil,Term,Prepaid,3.91
V0385,Packaging Supply Co. 385,Packaging,China,Variable,Net 45,4.23
V0386,Electronics Supply Co. 386,Electronics,Vietnam,Variable,Net 45,3.23
V0387,Electronics Supply Co. 387,Electronics,China,Variable,Net 60,3.48
V0388,Packaging Supply Co. 388,Packaging,China,Fixed,Net 60,3.44
V0389,Components Supply Co. 389,Components,China,Variable,Prepaid,4.45
V0390,Components Supply Co. 390,Components,USA,Variable,Net 60,3.28
V0391,Electronics Supply Co. 391,Electronics,USA,Term,Net 30,4.18
V0392,Finished Goods Supply Co. 392,Finished Goods,Poland,Variable,Prepaid,3.22
V0393,Packaging Supply Co. 393,Packaging,Germany,Fixed,Prepaid,4.84
V0394,Packaging Supply Co. 394,Packaging,USA,Term,Net 45,3.62
V0395,Raw Materials Supply Co. 395,Raw Materials,China,Fixed,Net 45,3.89
V0396,Electronics Supply Co. 396,Electronics,Mexico,Term,Prepaid,4.51
V0397,Finished Goods Supply Co. 397,Finished Goods,Brazil,Term,Prepaid,4.15
V0398,Packaging Supply Co. 398,Packaging,China,Term,Prepaid,4.45
V0399,Electronics Supply Co. 399,Electronics,Poland,Fixed,Prepaid,4.33
V0400,Raw Materials Supply Co. 400,Raw Materials,China,Fixed,Net 60,3.92
V0401,Raw Materials Supply Co. 401,Raw Materials,Spain,Fixed,Net 45,3.43
V0402,Raw Materials Supply Co. 402,Raw Materials,Poland,Variable,Prepaid,4.28
V0403,Raw Materials Supply Co. 403,Raw Materials,Mexico,Fixed,Net 45,3.43
V0404,Components Supply Co. 404,Components,India,Variable,Net 60,4.75
V0405,Components Supply Co. 405,Components,USA,Fixed,Net 60,3.41
V0406,Components Supply Co. 406,Components,USA,Variable,Prepaid,4.94
V0407,Finished Goods Supply Co. 407,Finished Goods,Spain,Fixed,Net 30,3.5
V0408,Finished Goods Supply Co. 408,Finished Goods,India,Fixed,Net 60,3.33
V0409,Packaging Supply Co. 409,Packaging,Mexico,Variable,Net 30,4.27
V0410,Packaging Supply Co. 410,Packaging,Poland,Variable,Net 30,4.59
V0411,Electronics Supply Co. 411,Electronics,Mexico,Fixed,Net 30,3.9
V0412,Electronics Supply Co. 412,Electronics,USA,Fixed,Net 30,3.46
V0413,Packaging Supply Co. 413,Packaging,Mexico,Fixed,Net 30,3.84
V0414,Components Supply Co. 414,Components,China,Fixed,Net 30,3.35
V0415,Components Supply Co. 415,Components,Poland,Term,Net 60,4.68
V0416,Electronics Supply Co. 416,Electronics,Poland,Term,Net 60,3.41
V0417,Finished Goods Supply Co. 417,Finished Goods,USA,Term,Net 45,4.66
V0418,Packaging Supply Co. 418,Packaging,Poland,Variable,Net 30,4.69
V0419,Packaging Supply Co. 419,Packaging,Mexico,Variable,Net 30,4.83
V0420,Raw Materials Supply Co. 420,Raw Materials,China,Fixed,Net 45,4.46
V0421,Electronics Supply Co. 421,Electronics,Poland,Term,Prepaid,3.57
V0422,Finished Goods Supply Co. 422,Finished Goods,Poland,Variable,Prepaid,3.28
V0423,Packaging Supply Co. 423,Packaging,USA,Fixed,Net 45,3.72
V0424,Electronics Supply Co. 424,Electronics,Canada,Variable,Net 60,3.72
V0425,Raw Materials Supply Co. 425,Raw Materials,China,Fixed,Prepaid,3.97
V0426,Raw Materials Supply Co. 426,Raw Materials,Germany,Variable,Net 45,4.31
V0427,Raw Materials Supply Co. 427,Raw Materials,Spain,Fixed,Prepaid,3.93
V0428,Raw Materials Supply Co. 428,Raw Materials,USA,Fixed,Prepaid,3.36
V0429,Components Supply Co. 429,Components,Vietnam,Fixed,Net 30,4.39
V0430,Components Supply Co. 430,Components,Mexico,Fixed,Prepaid,3.86
V0431,Components Supply Co. 431,Components,Spain,Fixed,Prepaid,3.29
V0432,Finished Goods Supply Co. 432,Finished Goods,Canada,Fixed,Net 45,3.61
V0433,Finished Goods Supply Co. 433,Finished Goods,Poland,Variable,Net 45,3.9
V0434,Packaging Supply Co. 434,Packaging,Spain,Variable,Net 30,4.32
V0435,Packaging Supply Co. 435,Packaging,Vietnam,Variable,Net 60,3.72
V0436,Electronics Supply Co. 436,Electronics,Vietnam,Fixed,Net 30,4.78
V0437,Electronics Supply Co. 437,Electronics,Spain,Fixed,Net 60,3.95
V0438,Packaging Supply Co. 438,Packaging,Brazil,Term,Net 45,4.69
V0439,Components Supply Co. 439,Components,Canada,Term,Net 30,4.06
V0440,Components Supply Co. 440,Components,Canada,Variable,Prepaid,3.84
V0441,Electronics Supply Co. 441,Electronics,Canada,Variable,Net 30,4.1
V0442,Finished Goods Supply Co. 442,Finished Goods,Poland,Fixed,Net 45,4.23
V0443,Packaging Supply Co. 443,Packaging,China,Term,Net 30,4.25
V0444,Packaging Supply Co. 444,Packaging,Poland,Term,Prepaid,4.23
V0445,Raw Materials Supply Co. 445,Raw Materials,Brazil,Variable,Prepaid,3.36
V0446,Electronics Supply Co. 446,Electronics,USA,Fixed,Prepaid,3.93
V0447,Finished Goods Supply Co. 447,Finished Goods,USA,Fixed,Net 45,3.5
V0448,Packaging Supply Co. 448,Packaging,USA,Term,Net 30,4.9
V0449,Electronics Supply Co. 449,Electronics,Canada,Term,Net 45,4.98
V0450,Raw Materials Supply Co. 450,Raw Materials,Poland,Fixed,Net 45,4.98
V0451,Raw Materials Supply Co. 451,Raw Materials,Poland,Fixed,Prepaid,4.52
V0452,Raw Materials Supply Co. 452,Raw Materials,China,Fixed,Net 60,3.59
V0453,Raw Materials Supply Co. 453,Raw Materials,Spain,Variable,Net 60,3.97
V0454,Components Supply Co. 454,Components,Canada,Fixed,Net 45,4.33
V0455,Components Supply Co. 455,Components,Germany,Variable,Prepaid,4.83
V0456,Components Supply Co. 456,Components,Spain,Variable,Net 30,3.72
V0457,Finished Goods Supply Co. 457,Finished Goods,Mexico,Term,Net 45,4.75
V0458,Finished Goods Supply Co. 458,Finished Goods,India,Fixed,Prepaid,3.99
V0459,Packaging Supply Co. 459,Packaging,Mexico,Term,Net 30,4.16
V0460,Packaging Supply Co. 460,Packaging,Vietnam,Variable,Net 45,3.59
V0461,Electronics Supply Co. 461,Electronics,Germany,Fixed,Prepaid,4.47
V0462,Electronics Supply Co. 462,Electronics,Poland,Variable,Net 45,4.96
V0463,Packaging Supply Co. 463,Packaging,China,Variable,Net 30,3.6
V0464,Components Supply Co. 464,Components,Brazil,Term,Net 30,3.51
V0465,Components Supply Co. 465,Components,Vietnam,Fixed,Prepaid,3.36
V0466,Electronics Supply Co. 466,Electronics,USA,Term,Net 45,4.35
V0467,Finished Goods Supply Co. 467,Finished Goods,Vietnam,Fixed,Net 45,3.3
V0468,Packaging Supply Co. 468,Packaging,India,Fixed,Prepaid,4.92
V0469,Packaging Supply Co. 469,Packaging,Spain,Variable,Net 45,4.05
V0470,Raw Materials Supply Co. 470,Raw Materials,Spain,Variable,Net 45,3.73
V0471,Electronics Supply Co. 471,Electronics,China,Variable,Net 30,4.47
V0472,Finished Goods Supply Co. 472,Finished Goods,India,Fixed,Net 30,3.34
V0473,Packaging Supply Co. 473,Packaging,Mexico,Variable,Net 60,3.94
V0474,Electronics Supply Co. 474,Electronics,Vietnam,Variable,Net 60,4.71
V0475,Raw Materials Supply Co. 475,Raw Materials,Poland,Fixed,Net 30,3.25
V0476,Raw Materials Supply Co. 476,Raw Materials,India,Variable,Net 60,3.41
V0477,Raw Materials Supply Co. 477,Raw Materials,India,Variable,Net 30,3.4
V0478,Raw Materials Supply Co. 478,Raw Materials,Brazil,Fixed,Net 60,3.97
V0479,Components Supply Co. 479,Components,India,Variable,Net 30,4.2
V0480,Components Supply Co. 480,Components,Brazil,Term,Net 30,4.3
V0481,Components Supply Co. 481,Components,Vietnam,Variable,Net 30,3.33
V0482,Finished Goods Supply Co. 482,Finished Goods,Germany,Variable,Net 60,4.48
V0483,Finished Goods Supply Co. 483,Finished Goods,India,Term,Net 60,3.88
V0484,Packaging Supply Co. 484,Packaging,Mexico,Fixed,Net 60,4.89
V0485,Packaging Supply Co. 485,Packaging,Mexico,Variable,Net 45,4.31
V0486,Electronics Supply Co. 486,Electronics,China,Variable,Net 30,4.4
V0487,Electronics Supply Co. 487,Electronics,Mexico,Fixed,Net 30,4.74
V0488,Packaging Supply Co. 488,Packaging,Vietnam,Term,Net 45,4.91
V0489,Components Supply Co. 489,Components,Germany,Variable,Net 30,3.71
V0490,Components Supply Co. 490,Components,Vietnam,Fixed,Net 30,4.62
V0491,Electronics Supply Co. 491,Electronics,China,Fixed,Net 45,3.59
V0492,Finished Goods Supply Co. 492,Finished Goods,Canada,Variable,Prepaid,4.22
V0493,Packaging Supply Co. 493,Packaging,Germany,Variable,Net 60,4.81
V0494,Packaging Supply Co. 494,Packaging,India,Fixed,Prepaid,3.75
V0495,Raw Materials Supply Co. 495,Raw Materials,Poland,Fixed,Net 60,4.97
V0496,Electronics Supply Co. 496,Electronics,Poland,Fixed,Prepaid,3.86
V0497,Finished Goods Supply Co. 497,Finished Goods,Poland,Term,Prepaid,4.55
V0498,Packaging Supply Co. 498,Packaging,China,Variable,Net 45,4.16
V0499,Electronics Supply Co. 499,Electronics,Mexico,Term,Prepaid,3.34
V0500,Raw Materials Supply Co. 500,Raw Materials,Poland,Term,Prepaid,4.47
